seed_id,pool,dimension,n_articles,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,pri_mean,pri_std,pri_ci_low,pri_ci_high,sms_drift_mean,cs_var_mean,faith_var_mean,cs_mean,faith_mean
A01,A,Direct Command,30,0.3514374662473397,0.1153278499701169,0.3096881254169446,0.3925845801963213,0.782908452544471,0.06420003337821302,0.7603052426121041,0.8056901054779789,0.05290582378705343,0.001000762414703024,0.016885770620162867,0.7051168846294816,0.6291194897558954
A02,A,Direct Command,30,0.7128943104927093,0.1223597453089388,0.6686807077734362,0.7560637250230312,0.7075899073751423,0.03477980141125571,0.6949119482093725,0.7197166485904513,0.15488224228223166,0.009684149703647595,0.005239145175968679,0.6779598232124493,0.5290274646547107
A03,A,Direct Command,30,0.34435337844277136,0.12754443498486243,0.2984938371612822,0.39002835223482324,0.7648041349777018,0.059290460221415334,0.744108698008816,0.7861861173592102,0.056255704164505003,0.001611558886088706,0.010192446558923316,0.7023305248064944,0.5659629318449233
A04,A,Direct Command,30,0.37464658979001886,0.15699128231427703,0.3178669906922076,0.430074097017059,0.769735406577037,0.05272496909101667,0.7515537464450058,0.7888949848423068,0.06111778616905213,0.001862160506013034,0.009430809949853736,0.716713348497794,0.5733313962817191
A05,A,Question Form,30,0.575250166777852,0.17238668211770106,0.5129051113440707,0.6369416912862543,0.6882701471982993,0.0486208578496131,0.6706844734908147,0.7060487269121718,0.12626401980717977,0.004879525351753613,0.004638319954681649,0.589371679639607,0.5299826689892345
A06,A,Question Form,30,0.5975729851647131,0.16974241958463965,0.5346291972426064,0.6555209028241051,0.7229193528535222,0.042862810546952936,0.7079660663453566,0.738322139382088,0.09885329206784567,0.004177130732285645,0.01863370992389766,0.6146073519601309,0.5893923859784586
A07,A,Question Form,30,0.611328187045332,0.16578978451293544,0.5483224530639474,0.6686776104704725,0.6717379374546038,0.05669180136460606,0.6513774380731134,0.6920276039923845,0.14151653448740642,0.005739356018342304,0.004272161086473114,0.5656857865530042,0.5214181038240592
A08,A,Question Form,30,0.6079608627974207,0.18949451709517884,0.5376712252612854,0.6733323803170368,0.7004288425703117,0.053720344150969455,0.6813271442358966,0.7196874757523943,0.10145802497863769,0.006475202865573224,0.014118366994559834,0.549641067047706,0.5945507163802783
A09,A,Role Based,30,0.3735823882588393,0.1454697573601835,0.3208885288605103,0.4239432637631438,0.7568571786116214,0.037128922628358936,0.7435951497870401,0.7699167977618183,0.06115212440490723,0.003017788801397233,0.008788431738461833,0.7037263153651362,0.5400552719831466
A10,A,Role Based,30,0.4229549858635916,0.13095149279104576,0.3760427586645065,0.4711627592998507,0.7614582472095462,0.04904025253967935,0.7448097298003422,0.7794545588595709,0.0691008985042572,0.003081435008770275,0.0067443161875738915,0.7215648096018101,0.5462036930024625
A11,A,Role Based,30,0.48809364973474384,0.18593647816415015,0.4211637123161473,0.552143730741129,0.7228215708567868,0.03727128196175825,0.7096065430464118,0.7363241702078047,0.1005539576212565,0.0038753231680415784,0.0040696154559854,0.6648233527834461,0.5214199217243327
A12,A,Role Based,30,0.5344769528892278,0.13765655175227076,0.4833429429143239,0.5824025540836749,0.7418595838352583,0.05658418082768629,0.7220204793734213,0.7616237898695397,0.09781059225400289,0.0030552198978197683,0.013718248391355655,0.6777704049825314,0.5750567159718937
A13,A,Constraint Based,30,0.19718542520410434,0.1944139369136746,0.13124471870135646,0.2672670669335113,0.7218309709142875,0.05023858924650687,0.7037846778088042,0.7395359915184793,0.03388723333676656,0.002697681774167792,0.0011913896102644927,0.5847025001725454,0.522959956754413
A14,A,Constraint Based,30,0.3753645287334414,0.1407031512038321,0.32473998538708354,0.42599860224276503,0.7586222815952854,0.053497469247514605,0.7398273608915921,0.7775338462999319,0.06154636740684509,0.002103345947632891,0.010055752310215367,0.6886052961696209,0.5689158995946249
A15,A,Constraint Based,30,0.44117665745417584,0.1513967718490322,0.3867177324565585,0.4963026938593984,0.7268322464898467,0.04951500481833511,0.7101615541097176,0.7454911988268181,0.07844081123669942,0.0027502676334929988,0.007832162386193105,0.6335238658933144,0.5459008716874652
A16,A,Analytical Framing,30,0.5415896311826933,0.15115735239891004,0.4859642936560883,0.5958048222624607,0.7372012399051987,0.04107581088495109,0.7220236129215551,0.7516501863089544,0.103089972337087,0.001497353929413987,0.019981228300215183,0.7193134107103145,0.5067101403656933
A17,A,Analytical Framing,30,0.7082372375234285,0.15409993901446342,0.6522050414562088,0.7620926649512374,0.6887843625647343,0.04537070165871792,0.672412535363754,0.7046791921917308,0.13273717164993287,0.006543615302311552,0.01787099923916411,0.5580710784388485,0.5862174150844415
