dimension,pool,n_cells,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,pri_mean,pri_std,pri_ci_low,pri_ci_high
Analytical Framing,A,20,0.570793172690763,0.18313521050449852,0.48795783132530124,0.6500524598393576,0.6854207148875724,0.03868287408220211,0.6690056749735861,0.7035668986515936
Audience Perspective,A,15,0.48144578313253006,0.1550323187766699,0.4047248995983935,0.5583684738955823,0.6995128593064017,0.03944981364884315,0.6805871519438094,0.7205393979902801
Completeness Framing,A,15,0.46710843373493977,0.1389615338799184,0.3984675368139224,0.5379521419009372,0.7095506880291018,0.04415971889513576,0.6884836185498264,0.73404509179514
Constraint Based,A,15,0.3617269076305221,0.16490621671378916,0.27748293172690763,0.4448999330655958,0.7001659107702092,0.05350456785310775,0.6754415150308456,0.7297218146338526
Direct Command,A,20,0.4448192771084337,0.1628842166818621,0.3771779618473895,0.5186568775100402,0.7060949311437719,0.052506692965577556,0.6846671070702234,0.7306751377585672
Emphasis Focus,A,15,0.572904953145917,0.15272203111610136,0.49982597054886213,0.6512105087014726,0.6843023273272294,0.030455818330600317,0.6690082973596163,0.6999448755181444
Lexical Filter,B,15,0.5096921017402944,0.14246341879432645,0.4355384872824631,0.5783002008032129,0.6845491867103638,0.08640583484302335,0.6414952400653026,0.7289314359004552
Meta-reflection,B,5,0.5863453815261044,0.1430574853188054,0.46108433734939763,0.7116064257028112,0.680219967261721,0.05314307464547419,0.6425169886167234,0.7321559902777276
Output Format,A,15,0.3495850066934405,0.19254836345470522,0.25847155287817936,0.45480722891566266,0.7036454884596488,0.06320559029583138,0.673325274325627,0.7370175549822804
Persona / Tone,B,30,0.5153614457831325,0.2013438955728408,0.4454874497991967,0.5865150602409639,0.6811928095916396,0.050992115577693065,0.6636628867823676,0.7001439835028176
Question Form,A,20,0.5410441767068274,0.19957083072318138,0.45535115461847386,0.6316975401606425,0.6585981107862332,0.042887390056938715,0.6400854105923585,0.6769997088909279
Role Based,A,20,0.4858032128514056,0.16535927070548986,0.4170956325301205,0.5607751004016063,0.7105836300904361,0.03935208349085033,0.6936649191683086,0.7281472369878099
Theme Isolation,B,25,0.5941044176706828,0.19400076237396754,0.51699578313253,0.6702036144578314,0.656592898404307,0.0617814107758317,0.6297619336445066,0.6780109516562851
Tone Register,A,20,0.48843373493975906,0.14426928150747853,0.42607429718875506,0.5518273092369478,0.7198983303963757,0.048080691986858,0.6998139157382963,0.7417085850595282
